Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue/cell_type,histological_subtype
SRR13755471,Hi-C,300,121996357200,PRJNA703392,SAMN18016417,39332822926,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX10142242,GSM5098072,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T21:01:00Z,1,GSM5098072,Triple negative breast cancer B cell,SRP307249,Triple negative breast cancer B,
SRR13755472,Hi-C,300,102563208000,PRJNA703392,SAMN18016416,32892030824,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX10142243,GSM5098073,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T20:40:00Z,1,GSM5098073,Triple negative breast cancer B cell,SRP307249,Triple negative breast cancer B,
SRR13755473,Hi-C,300,109589496600,PRJNA703392,SAMN18016415,34215862109,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10142244,GSM5098074,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T22:34:00Z,1,GSM5098074,"Contralateral breast tissue\, patient N1",SRP307249,"Contralateral breast tissue, patient N1",
SRR13755474,Hi-C,300,110699613900,PRJNA703392,SAMN18016357,34990411958,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10142245,GSM5098075,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T19:14:00Z,1,GSM5098075,"Contralateral breast tissue\, patient N2",SRP307249,"Contralateral breast tissue, patient N2",
SRR13755475,Hi-C,300,102397266300,PRJNA703392,SAMN18016356,32164359740,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX10142246,GSM5098076,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T22:25:00Z,1,GSM5098076,"Contralateral breast tissue\, patient N3",SRP307249,"Contralateral breast tissue, patient N3",
SRR13755476,Hi-C,300,111412245000,PRJNA703392,SAMN18016400,34895651984,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX10142247,GSM5098077,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T21:48:00Z,1,GSM5098077,"Contralateral breast tissue\, patient N4",SRP307249,"Contralateral breast tissue, patient N4",
SRR13755477,Hi-C,300,92426712600,PRJNA703392,SAMN18016399,29270124933,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX10142248,GSM5098078,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T23:24:00Z,1,GSM5098078,"Contralateral breast tissue\, patient N5",SRP307249,"Contralateral breast tissue, patient N5",
SRR13755478,Hi-C,302,103569029110,PRJNA703392,SAMN18016398,34658335494,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10142249,GSM5098079,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T20:07:00Z,1,GSM5098079,"Triple negative breast cancer tissue\, patient1",SRP307249,"Triple negative breast cancer tissue, patient1",Triple negative breast cancer IDC
SRR13755479,Hi-C,302,96624279390,PRJNA703392,SAMN18016397,31994998197,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX10142250,GSM5098080,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T20:10:00Z,1,GSM5098080,"Triple negative breast cancer tissue\, patient2",SRP307249,"Triple negative breast cancer tissue, patient2",Triple negative breast cancer IDC
SRR13755481,Hi-C,302,115801916610,PRJNA703392,SAMN18016395,39114932286,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10142252,GSM5098082,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-21T03:06:00Z,1,GSM5098082,"Triple negative breast cancer tissue\, patient3",SRP307249,"Triple negative breast cancer tissue, patient3",Triple negative breast cancer IDC
